Page url,Poster,Name,Organizer,Description,Category,Highlights,Refund Policy,Address,Price,Date & Time
https://www.eventbrite.com/e/rockstars-2026-spring-showcase-toronto-on-tickets-1982192275455,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176457066%2F69951106971%2F1%2Foriginal.20260202-152944?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=244c515719780e170008c8dcd138c347,"Rockstar's 2026 Spring Showcase - Toronto, ON",Rockstar Music Central,We invite students of all ages/levels to perform at the summer concert! Join us for great music & fun for the whole family!⭐,"Music, Alternative","all ages, In person, Doors at 1:00 PM",Refunds up to 2 days before event,"918 Bathurst Street, Toronto, ON M5R 3G5, Canada",CAD 28.25,May 30 at 1:30 PM EDT
https://www.eventbrite.ca/e/the-importance-of-being-earnest-penny-pound-theatre-tickets-1979807713165,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1174055198%2F288317466918%2F1%2Foriginal.20260105-231351?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C120%2C1920%2C960&s=975fa733761e1a20256daa36053b5026,The Importance of Being Earnest | Penny & Pound Theatre,Penny & Pound Theatre Productions,"A dazzling comedy of mistaken identities, Oscar Wilde’s most famous ‘gay nineties’ comedy comes to life on stage in KW.","Arts, Theatre","2 hours 30 minutes, all ages, In person",No Refunds,"9 Princess Street East, Waterloo, ON N2J 2H4, Canada",,Feb 18 at 8:00 PM
https://www.eventbrite.com/e/2026-hamilton-local-business-expo-tickets-1982612527440,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176988636%2F2991432652295%2F1%2Foriginal.20260208-130638?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C127%2C958%2C479&s=5bf6ca4b014cd7c0e976bb2f890b55e3,2026 HAMILTON LOCAL BUSINESS EXPO,ON Bright Planners Co.,Get ready to explore cool local businesses and connect with awesome folks at the 2026 Hamilton Local Business Expo!,"Business, Startups","2 days 9 hours, In person",Refunds up to 7 days before event,"64 Leander Drive, Hamilton, ON L8L 1N6, Canada",Free,Apr 3 at 10:00 AM EDT
https://www.eventbrite.com/e/the-neighbours-a-new-play-by-nicolas-billon-directed-by-matt-white-tickets-1797697213759,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1149315763%2F2948085559891%2F1%2Foriginal.20251009-185508?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C24%2C700%2C350&s=8c5c8d6a730e324558ab21280040ea7b,THE NEIGHBOURS: A New Play By Nicolas Billon Directed By Matt White,Green Light Arts,Experience The Neighbours — a moving new play by Nicolas Billon. Tickets: $15-$45 + HST at https://ticketscene.ca/artists/green_light_arts/,"Arts, Theatre","Free parking, ages 14+, In person",No Refunds,"36 King St W, Kitchener, ON N2G 1A3, Canada",18,Mar 18 at 7:00 PM EDT
https://www.eventbrite.ca/e/delta-downsview-55000-monster-bingo-tickets-1980200592277,https://cdn.evbuc.com/images/1174431863/387210855547/1/logo.20260109-180311,"Delta Downsview: $55,000 Monster Bingo",Delta Bingo & Gaming,There's BIG CASH PRIZES to be won during this jacked up Bingo session at Delta Downsview.,"Film & Media, Other","Free parking, 2 hours 30 minutes, ages 18+, In person, Doors at 11:00 AM",No Refunds,"1868 Wilson Avenue, Toronto, ON M9M 1A5, Canada",CAD 0.0,Feb 22 at 1:00 PM EST
https://www.eventbrite.com/e/the-wedding-show-sunday-march-1st-2026-inside-hyatt-regency-toronto-tickets-1887994675899,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1162636963%2F180524839650%2F1%2Foriginal.20251026-063159?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C43%2C1080%2C540&s=deb8c85320b1c20f3a5f46f8846485b4,"The Wedding Show - Sunday, March 1st, 2026, inside Hyatt Regency Toronto",THE WEDDING SHOW,"ARE YOU A BRIDE-TO-BE? We invite you to attend ""The Wedding Show"" at Hyatt Regency Toronto on Sunday, Mar 1st, from 12:00 pm to 5:00 pm",Other,"5 hours, In person",Refunds up to 7 days before event,"370 King St W,, Toronto, ON M5V 1J9, Canada",11.98 CAD - 3.99 CAD,Mar 1 at 12:00 PM EST
https://www.eventbrite.com/e/international-youth-in-business-conference-toronto-2026-tickets-1753158798159,https://cdn.evbuc.com/images/1138565753/1873170323953/1/logo.20250929-105500,International Youth In Business Conference - Toronto 2026,IMPACT GLOBAL EVENTS,"Join us at the International Youth In Business Conference to connect, learn, and grow together as young entrepreneurs!","Business, Startups","Free parking, 2 days 8 hours, ages 18+, In person, Doors at 8:30 AM",Refunds up to 7 days before event,"30 Baywood Road, Toronto, ON M9V 2Z8, Canada",182.38 CAD - 300.00 CAD,Apr 20 at 9:00 AM EDT
https://www.eventbrite.ca/e/sunde-social-beloved-tickets-1981587712190,https://cdn.evbuc.com/images/1176767998/463261164146/1/logo.20260205-122017,Sundé Social - BELOVED,Sunde Social,"Live Music, Networking, Vibez, Community, Exposure. #ExperienceSomethingDifferent","Arts, Theatre","5 hours 30 minutes, In person",No Refunds,"1230 Sheppard Avenue West, Toronto, ON M3K 1Z9, Canada",CAD 22.9 - CAD 38.95,Feb 22 at 6:00 PM EST
https://www.eventbrite.ca/e/etobicoke-camera-club-1-year-membership-for-the-2025-to-2026-season-tickets-1698373754619,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F539533729%2F501959939515%2F1%2Foriginal.20230620-165851?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C504%2C4032%2C2016&s=5cd1daebd8a69cd235635833b4c6db98,Etobicoke Camera Club - 1 Year Membership for the 2025 to 2026 season.,Etobicoke Camera Club,"Our friendly group of 130+ photography enthusiasts meet most Mondays from Sep to May, in-person & on Zoom. Won’t you consider joining us?","Hobbies, Photography","2 hours 30 minutes, In person",,"76 Anglesey Boulevard, Toronto, ON M9A 3C1, Canada",From CA$107.83,Feb 23 at 7:00 PM
https://www.eventbrite.com/e/richmond-art-and-craft-2026-tickets-1980246171606,https://cdn.evbstatic.com/s3-build/prod/21894412222-rc2026-02-11_20.04-py27-de056fe/django/images/logos/eb_orange_on_white_1200x630.png,Richmond Art and Craft 2026,Heritage Canada Events,"Showcase your products, meet ready-to-shop customers, and grow your brand at our vibrant vendor market!","Arts, Craft","1 day 7 hours, In person",Refunds up to 7 days before event,"321 Mill Street, Richmond Hill, ON L4C 4B5, Canada",Free,Feb 21 at 10:00 AM EST
https://www.eventbrite.com/e/2026-toronto-urban-vendors-fest-tickets-1982611965760,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176988169%2F2991431706722%2F1%2Foriginal.20260208-124855?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C400%2C1600%2C800&s=edbdb97c798013ce5f071fc085acd540,2026 TORONTO URBAN VENDORS FEST,Urban Vibe Collective,Get ready to explore Toronto’s coolest street food and handmade goods at the 2026 Urban Vendors Fest!,"Community, City & Town","2 days 9 hours, In person",Refunds up to 7 days before event,"790 Queen Street West, Toronto, ON M6J 1G3, Canada",CAD 0.0,Mar 27 at 9:00 AM EDT
https://www.eventbrite.ca/e/masters-phd-grad-diploma-info-table-yorks-spring-open-houseglendon-tickets-1974429113629,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1115980453%2F2404406890273%2F1%2Foriginal.20250906-015254?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C540&s=c670a55b79b831c9bfb6134fe87d9d63,"Master's, PhD & Grad Diploma Info Table @ York's Spring Open House(Glendon)",Faculty of Graduate Studies | York University,Come meet the Graduate Recruitment Team at York University during the 2026 Glendon Spring Open House,"Business, Career","2 hours, In person",Refunds up to 7 days before event,"2275 Bayview Avenue, Toronto, ON M4N 3M6, Canada",CAD 0.0,Mar 22 at 10:00 AM EDT
https://www.eventbrite.com/e/phsas-end-of-year-gala-2026-masquerade-ball-tickets-1982508792165,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176907250%2F1702395308653%2F1%2Foriginal.20260206-201200?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C34%2C1200%2C600&s=222ac07dc58c7a04c984e60b4578abb4,PHSA's End of Year Gala 2026: Masquerade Ball,Public Health Students' Association,"Welcome to an unforgettable night of mystery, music, and elegance. PHSA's End of Year Gala is here — come celebrate with us!","Community, Other","Paid parking, Parking available, 4 hours, In person",Refunds up to 7 days before event,"7 Hart House Circle, Toronto, ON M5S 3H3, Canada",CAD 0.0,Apr 16 at 6:00 PM EDT
